Reflex daemon running. Watching hunger/health...
[reflex] 💀 WILSON DIED (darkness) - revive sent
[reflex] 💀 DEAD (darkness) - revive sent
[reflex] DUSK-WARNING: no torch, materials needed (twigs+cutgrass)
[reflex] FLEEING tentacle at 8m -> (296,66)
[reflex] FLEEING tentacle at 9m -> (291,46)
[reflex] FLEEING tentacle at 9m -> (287,53)
[reflex] FLEEING tentacle at 9m -> (303,49)
[reflex] FLEEING tentacle at 6m -> (306,55)
[reflex] FLEEING tentacle at 9m -> (306,51)
[reflex] FLEEING tentacle at 6m -> (298,64)
[reflex] FLEEING tentacle at 6m -> (298,64)
[reflex] FLEEING tentacle at 9m -> (296,67)
[reflex] FLEEING tentacle at 9m -> (291,47)
[reflex] FLEEING tentacle at 9m -> (287,54)
[reflex] FLEEING tentacle at 6m -> (300,46)
[reflex] FLEEING tentacle at 6m -> (299,45)
[reflex] FLEEING tentacle at 7m -> (285,51)
[reflex] FLEEING tentacle at 9m -> (283,53)
[reflex] FLEEING tentacle at 9m -> (303,52)
[reflex] FLEEING tentacle at 6m -> (299,58)
[reflex] FLEEING tentacle at 8m -> (298,42)
[reflex] FLEEING tentacle at 9m -> (305,47)
[reflex] FLEEING tentacle at 7m -> (298,64)
[reflex] FLEEING tentacle at 9m -> (298,49)
[reflex] FLEEING tentacle at 9m -> (298,49)
[reflex] FLEEING tentacle at 5m -> (298,53)
[reflex] FLEEING tentacle at 2m -> (298,56)
[reflex] FLEEING tentacle at 3m -> (298,54)
[reflex] FLEEING tentacle at 6m -> (299,51)
[reflex] FLEEING tentacle at 9m -> (299,48)
[reflex] FLEEING tentacle at 8m -> (289,59)
[reflex] FLEEING tentacle at 8m -> (289,59)
[reflex] FLEEING tentacle at 7m -> (305,61)
[reflex] FLEEING tentacle at 6m -> (293,48)
[reflex] FLEEING tentacle at 8m -> (302,50)
[reflex] FLEEING tentacle at 9m -> (297,65)
[reflex] FLEEING tentacle at 8m -> (297,64)
[reflex] FLEEING tentacle at 9m -> (298,49)
[reflex] FLEEING tentacle at 8m -> (297,49)
[reflex] FLEEING tentacle at 8m -> (296,50)
[reflex] FLEEING tentacle at 5m -> (295,53)
[reflex] FLEEING tentacle at 7m -> (295,51)
[reflex] FLEEING tentacle at 9m -> (308,54)
[reflex] FLEEING tentacle at 9m -> (288,50)
[reflex] FLEEING tentacle at 8m -> (294,44)
[reflex] FLEEING tentacle at 9m -> (302,48)
[reflex] FLEEING tentacle at 7m -> (304,53)
[reflex] FLEEING tentacle at 9m -> (295,65)
[reflex] FLEEING tentacle at 7m -> (296,65)
[reflex] FLEEING tentacle at 9m -> (295,66)
[reflex] FLEEING tentacle at 6m -> (308,60)
[reflex] FLEEING tentacle at 6m -> (308,60)
[reflex] FLEEING tentacle at 7m -> (296,51)
[reflex] FLEEING tentacle at 9m -> (303,50)
[reflex] FLEEING tentacle at 9m -> (285,62)
[reflex] FLEEING tentacle at 9m -> (287,54)
[reflex] FLEEING tentacle at 9m -> (307,56)
[reflex] FLEEING tentacle at 7m -> (304,52)
[reflex] FLEEING tentacle at 9m -> (306,52)
[reflex] FLEEING tentacle at 8m -> (296,65)
[reflex] FLEEING tentacle at 6m -> (300,66)
[reflex] FLEEING tentacle at 8m -> (297,66)
[reflex] FLEEING tentacle at 9m -> (293,44)
[reflex] FLEEING tentacle at 9m -> (289,51)
[reflex] FLEEING tentacle at 9m -> (302,43)
[reflex] FLEEING tentacle at 9m -> (299,40)
[reflex] FLEEING tentacle at 6m -> (284,39)
[reflex] FLEEING tentacle at 9m -> (281,41)
[reflex] FLEEING crawlinghorror at 8m -> (280,7)
[reflex] FLEEING crawlinghorror at 6m -> (281,6)
[reflex] FLEEING crawlinghorror at 8m -> (279,4)
[reflex] FLEEING crawlinghorror at 9m -> (279,1)
[reflex] FLEEING crawlinghorror at 8m -> (294,-16)
[reflex] FLEEING crawlinghorror at 8m -> (295,-18)
[reflex] FLEEING crawlinghorror at 3m -> (299,-15)
[reflex] FLEEING crawlinghorror at 5m -> (300,-17)
[reflex] FLEEING crawlinghorror at 8m -> (302,-19)
[reflex] FLEEING crawlinghorror at 9m -> (312,-31)
[reflex] FLEEING crawlinghorror at 7m -> (312,-37)
[reflex] FLEEING crawlinghorror at 5m -> (312,-37)
[reflex] FLEEING crawlinghorror at 4m -> (311,-38)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 3m -> (313,-37)
[reflex] FLEEING crawlinghorror at 2m -> (311,-38)
[reflex] FLEEING crawlinghorror at 2m -> (311,-38)
[reflex] FLEEING crawlinghorror at 2m -> (311,-38)
[reflex] FLEEING crawlinghorror at 2m -> (311,-38)
[reflex] FLEEING crawlinghorror at 2m -> (311,-38)
[reflex] 💀 WILSON DIED (mob:tentacle) - revive sent
[reflex] 💀 DEAD (mob:tentacle) - revive sent
[reflex] FLEEING tentacle at 9m -> (297,-4)
[reflex] FLEEING tentacle at 9m -> (296,-4)
[reflex] FLEEING tentacle at 9m -> (304,49)
[reflex] FLEEING tentacle at 9m -> (286,65)
[reflex] FLEEING tentacle at 7m -> (303,51)
[reflex] FLEEING tentacle at 9m -> (304,49)
[reflex] FLEEING tentacle at 9m -> (290,61)
[reflex] FLEEING tentacle at 9m -> (290,61)
[reflex] FLEEING tentacle at 8m -> (287,56)
[reflex] FLEEING tentacle at 9m -> (285,62)
[reflex] FLEEING tentacle at 9m -> (304,49)
[reflex] FLEEING tentacle at 8m -> (290,60)
[reflex] FLEEING tentacle at 7m -> (306,60)
[reflex] FLEEING tentacle at 8m -> (306,62)
[reflex] FLEEING tentacle at 8m -> (286,60)
[reflex] FLEEING tentacle at 9m -> (285,60)
[reflex] FLEEING tentacle at 9m -> (302,48)
[reflex] FLEEING tentacle at 9m -> (294,64)
[reflex] FLEEING tentacle at 9m -> (305,51)
[reflex] FLEEING tentacle at 8m -> (294,64)
[reflex] FLEEING tentacle at 9m -> (293,64)
[reflex] FLEEING tentacle at 8m -> (305,51)
[reflex] FLEEING tentacle at 9m -> (306,51)
[reflex] FLEEING tentacle at 8m -> (301,50)
[reflex] FLEEING tentacle at 7m -> (301,51)
[reflex] FLEEING tentacle at 9m -> (295,65)
[reflex] FLEEING tentacle at 8m -> (307,53)
[reflex] FLEEING tentacle at 7m -> (307,55)
[reflex] FLEEING tentacle at 8m -> (289,52)
[reflex] FLEEING tentacle at 9m -> (290,48)
[reflex] FLEEING tentacle at 8m -> (309,57)
[reflex] FLEEING tentacle at 7m -> (299,50)
[reflex] FLEEING tentacle at 7m -> (299,51)
[reflex] FLEEING tentacle at 8m -> (299,49)
[reflex] FLEEING tentacle at 9m -> (290,61)
[reflex] FLEEING tentacle at 9m -> (307,59)
[reflex] FLEEING tentacle at 7m -> (289,53)
[reflex] FLEEING tentacle at 9m -> (288,52)
[reflex] FLEEING tentacle at 9m -> (304,46)
[reflex] FLEEING tentacle at 8m -> (288,59)
[reflex] FLEEING tentacle at 8m -> (306,53)
[reflex] FLEEING tentacle at 9m -> (307,55)
[reflex] FLEEING tentacle at 9m -> (295,43)
[reflex] FLEEING tentacle at 9m -> (294,65)
[reflex] FLEEING tentacle at 7m -> (306,54)
[reflex] FLEEING tentacle at 6m -> (308,58)
[reflex] FLEEING tentacle at 9m -> (309,55)
[reflex] FLEEING tentacle at 8m -> (287,57)
[reflex] FLEEING tentacle at 8m -> (287,55)
[reflex] FLEEING tentacle at 8m -> (305,52)
[reflex] FLEEING tentacle at 7m -> (302,48)
[reflex] FLEEING tentacle at 8m -> (291,61)
[reflex] FLEEING tentacle at 7m -> (293,62)
[reflex] FLEEING tentacle at 8m -> (302,50)
[reflex] FLEEING tentacle at 8m -> (304,50)
[reflex] FLEEING tentacle at 8m -> (291,61)
[reflex] FLEEING tentacle at 9m -> (290,61)
[reflex] FLEEING tentacle at 9m -> (308,61)
[reflex] FLEEING tentacle at 9m -> (286,57)
[reflex] FLEEING tentacle at 8m -> (306,57)
[reflex] FLEEING tentacle at 7m -> (305,56)
[reflex] FLEEING tentacle at 9m -> (291,46)
[reflex] FLEEING tentacle at 9m -> (306,51)
[reflex] FLEEING tentacle at 9m -> (308,55)
[reflex] FLEEING tentacle at 8m -> (296,43)
[reflex] FLEEING tentacle at 8m -> (298,68)
[reflex] FLEEING tentacle at 9m -> (295,66)
[reflex] FLEEING tentacle at 9m -> (290,48)
[reflex] FLEEING tentacle at 9m -> (303,46)
[reflex] FLEEING tentacle at 8m -> (289,59)
[reflex] FLEEING tentacle at 8m -> (306,54)
[reflex] FLEEING tentacle at 9m -> (307,55)
[reflex] FLEEING tentacle at 8m -> (296,43)
[reflex] FLEEING tentacle at 9m -> (294,65)
[reflex] FLEEING tentacle at 8m -> (307,53)
[reflex] FLEEING tentacle at 8m -> (307,54)
[reflex] FLEEING tentacle at 9m -> (285,61)
[reflex] FLEEING tentacle at 9m -> (305,51)
[reflex] FLEEING tentacle at 8m -> (294,64)
[reflex] FLEEING tentacle at 7m -> (295,63)
[reflex] FLEEING tentacle at 9m -> (305,51)
[reflex] FLEEING tentacle at 9m -> (305,51)
[reflex] FLEEING tentacle at 8m -> (294,64)
[reflex] FLEEING tentacle at 8m -> (294,64)
[reflex] FLEEING tentacle at 7m -> (306,54)
[reflex] FLEEING tentacle at 7m -> (306,54)
[reflex] FLEEING tentacle at 9m -> (288,51)
[reflex] FLEEING tentacle at 9m -> (298,40)
[reflex] FLEEING tentacle at 9m -> (280,45)
[reflex] FLEEING tentacle at 7m -> (297,36)
[reflex] FLEEING tentacle at 8m -> (296,34)
[reflex] FLEEING tentacle at 9m -> (281,39)
[reflex] FLEEING tentacle at 7m -> (288,29)
[reflex] FLEEING tentacle at 5m -> (292,34)
[reflex] FLEEING tentacle at 9m -> (294,31)
[reflex] FLEEING tentacle at 7m -> (303,51)
[reflex] FLEEING tentacle at 8m -> (305,52)
[reflex] FLEEING tentacle at 8m -> (294,64)
[reflex] FLEEING tentacle at 9m -> (286,66)
[reflex] FLEEING tentacle at 8m -> (306,51)
[reflex] FLEEING tentacle at 8m -> (301,50)
[reflex] FLEEING tentacle at 8m -> (295,63)
[reflex] FLEEING tentacle at 9m -> (294,64)
[reflex] FLEEING tentacle at 9m -> (287,55)
[reflex] FLEEING tentacle at 9m -> (285,61)
[reflex] FLEEING tentacle at 9m -> (303,49)
[reflex] FLEEING tentacle at 9m -> (290,60)
[reflex] FLEEING tentacle at 7m -> (306,60)
[reflex] FLEEING tentacle at 8m -> (306,62)
[reflex] FLEEING tentacle at 9m -> (286,60)
[reflex] FLEEING tentacle at 9m -> (302,48)
[reflex] FLEEING tentacle at 9m -> (303,49)
[reflex] FLEEING tentacle at 9m -> (289,60)
[reflex] FLEEING tentacle at 7m -> (290,57)
[reflex] FLEEING tentacle at 7m -> (305,56)
[reflex] FLEEING tentacle at 7m -> (305,56)
[reflex] FLEEING tentacle at 9m -> (291,46)
[reflex] FLEEING tentacle at 6m -> (309,60)
[reflex] FLEEING tentacle at 7m -> (298,50)
[reflex] FLEEING tentacle at 4m -> (297,54)
[reflex] FLEEING tentacle at 5m -> (297,53)
[reflex] FLEEING tentacle at 8m -> (297,50)
[reflex] FLEEING tentacle at 8m -> (309,58)
[reflex] FLEEING tentacle at 8m -> (299,50)
[reflex] FLEEING tentacle at 9m -> (290,62)
[reflex] FLEEING tentacle at 7m -> (292,47)
[reflex] FLEEING tentacle at 7m -> (305,60)
[reflex] FLEEING tentacle at 7m -> (304,52)
[reflex] FLEEING tentacle at 8m -> (306,53)
[reflex] FLEEING tentacle at 9m -> (289,49)
[reflex] FLEEING tentacle at 5m -> (299,45)
[reflex] FLEEING tentacle at 7m -> (301,51)
[reflex] FLEEING tentacle at 9m -> (295,65)
[reflex] FLEEING tentacle at 8m -> (307,53)
[reflex] FLEEING tentacle at 9m -> (287,52)
[reflex] FLEEING tentacle at 8m -> (302,45)
[reflex] FLEEING tentacle at 5m -> (289,54)
[reflex] FLEEING tentacle at 5m -> (289,54)
[reflex] FLEEING tentacle at 8m -> (286,56)
[reflex] FLEEING tentacle at 4m -> (300,50)
[reflex] FLEEING tentacle at 6m -> (302,49)
[reflex] FLEEING tentacle at 9m -> (305,48)
[reflex] FLEEING tentacle at 8m -> (298,50)
[reflex] FLEEING tentacle at 7m -> (298,51)
[reflex] FLEEING tentacle at 7m -> (297,51)
[reflex] FLEEING tentacle at 8m -> (296,50)
[reflex] FLEEING tentacle at 8m -> (308,55)
[reflex] FLEEING tentacle at 8m -> (296,50)
[reflex] FLEEING tentacle at 8m -> (307,54)
[reflex] FLEEING tentacle at 9m -> (297,48)
[reflex] FLEEING tentacle at 9m -> (286,58)
[reflex] FLEEING tentacle at 3m -> (301,57)
[reflex] FLEEING tentacle at 4m -> (302,58)
[reflex] FLEEING tentacle at 8m -> (306,58)
[reflex] FLEEING tentacle at 8m -> (292,47)
[reflex] FLEEING tentacle at 8m -> (290,25)
[reflex] FLEEING tentacle at 7m -> (280,27)
[reflex] FLEEING tentacle at 7m -> (281,28)
[reflex] FLEEING tentacle at 8m -> (291,30)
[reflex] FLEEING tentacle at 5m -> (295,37)
[reflex] FLEEING tentacle at 9m -> (297,33)
[reflex] FLEEING tentacle at 9m -> (284,26)
[reflex] FLEEING tentacle at 7m -> (300,41)
[reflex] FLEEING tentacle at 8m -> (302,49)
[reflex] FLEEING tentacle at 7m -> (295,62)
[reflex] FLEEING tentacle at 8m -> (295,63)
[reflex] FLEEING tentacle at 8m -> (305,52)
[reflex] FLEEING tentacle at 9m -> (306,51)
[reflex] FLEEING tentacle at 8m -> (297,50)
[reflex] FLEEING tentacle at 8m -> (309,58)
[reflex] FLEEING tentacle at 7m -> (288,57)
[reflex] FLEEING tentacle at 6m -> (292,52)
[reflex] FLEEING tentacle at 8m -> (288,53)
[reflex] FLEEING tentacle at 7m -> (300,43)
[reflex] FLEEING tentacle at 8m -> (300,43)
[reflex] FLEEING tentacle at 5m -> (285,48)
[reflex] FLEEING tentacle at 5m -> (285,48)
[reflex] FLEEING tentacle at 6m -> (284,49)
[reflex] FLEEING tentacle at 9m -> (281,49)
[reflex] FLEEING tentacle at 8m -> (302,45)
[reflex] FLEEING tentacle at 8m -> (302,45)
[reflex] FLEEING tentacle at 5m -> (289,54)
[reflex] FLEEING tentacle at 5m -> (289,54)
[reflex] FLEEING tentacle at 5m -> (289,54)
[reflex] FLEEING tentacle at 8m -> (286,56)
[reflex] FLEEING crawlinghorror at 6m -> (287,38)
[reflex] FLEEING crawlinghorror at 7m -> (296,36)
[reflex] FLEEING crawlinghorror at 9m -> (291,33)
[reflex] FLEEING crawlinghorror at 7m -> (281,17)
[reflex] FLEEING crawlinghorror at 6m -> (280,18)
[reflex] FLEEING crawlinghorror at 7m -> (280,15)
[reflex] FLEEING crawlinghorror at 9m -> (279,12)
[reflex] FLEEING crawlinghorror at 7m -> (274,-2)
[reflex] FLEEING crawlinghorror at 6m -> (275,-3)
[reflex] FLEEING crawlinghorror at 8m -> (273,-6)
[reflex] FLEEING crawlinghorror at 9m -> (273,-9)
[reflex] FLEEING terrorbeak at 8m -> (288,-7)
[reflex] FLEEING terrorbeak at 4m -> (287,-5)
[reflex] FLEEING terrorbeak at 3m -> (289,-7)
[reflex] FLEEING crawlinghorror at 5m -> (282,-22)
[reflex] FLEEING terrorbeak at 5m -> (294,-6)
[reflex] FLEEING terrorbeak at 3m -> (295,-14)
[reflex] FLEEING terrorbeak at 5m -> (298,-9)
[reflex] FLEEING terrorbeak at 6m -> (301,-12)
[reflex] FLEEING terrorbeak at 6m -> (304,-9)
[reflex] FLEEING terrorbeak at 5m -> (307,-9)
[reflex] FLEEING terrorbeak at 5m -> (309,-8)
[reflex] FLEEING terrorbeak at 4m -> (312,-7)
[reflex] FLEEING terrorbeak at 4m -> (315,-8)
[reflex] FLEEING terrorbeak at 3m -> (318,-6)
[reflex] FLEEING terrorbeak at 3m -> (321,-4)
[reflex] FLEEING terrorbeak at 6m -> (324,-4)
[reflex] FLEEING terrorbeak at 9m -> (327,-3)
[reflex] FLEEING tentacle at 9m -> (319,10)
[reflex] FLEEING terrorbeak at 7m -> (336,5)
[reflex] FLEEING terrorbeak at 3m -> (335,7)
[reflex] FLEEING terrorbeak at 5m -> (338,7)
[reflex] FLEEING terrorbeak at 7m -> (340,10)
[reflex] FLEEING terrorbeak at 6m -> (343,11)
[reflex] FLEEING terrorbeak at 6m -> (346,12)
[reflex] FLEEING terrorbeak at 5m -> (349,14)
[reflex] FLEEING terrorbeak at 5m -> (350,16)
[reflex] FLEEING terrorbeak at 4m -> (353,18)
[reflex] FLEEING terrorbeak at 4m -> (355,20)
[reflex] FLEEING terrorbeak at 3m -> (358,22)
[reflex] FLEEING terrorbeak at 3m -> (358,22)
[reflex] FLEEING tentacle at 3m -> (357,2)
[reflex] FLEEING tentacle at 4m -> (365,13)
[reflex] FLEEING tentacle at 6m -> (366,8)
[reflex] FLEEING tentacle at 7m -> (349,28)
[reflex] FLEEING tentacle at 6m -> (357,28)
[reflex] FLEEING tentacle at 6m -> (358,29)
[reflex] FLEEING terrorbeak at 5m -> (369,25)
[reflex] FLEEING terrorbeak at 4m -> (365,32)
[reflex] FLEEING terrorbeak at 3m -> (371,30)
[reflex] FLEEING tentacle at 5m -> (347,18)
[reflex] FLEEING tentacle at 3m -> (348,26)
[reflex] FLEEING terrorbeak at 2m -> (371,37)
[reflex] FLEEING tentacle at 8m -> (343,24)
[reflex] FLEEING tentacle at 8m -> (343,24)
[reflex] FLEEING tentacle at 8m -> (343,24)
[reflex] 💀 WILSON DIED (mob:merm) - revive sent
[reflex] 💀 DEAD (mob:merm) - revive sent
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,24)
[reflex] FLEEING tentacle at 7m -> (344,23)
[reflex] FLEEING tentacle at 9m -> (365,33)
[reflex] FLEEING merm at 8m -> (349,13)
[reflex] FLEEING merm at 7m -> (348,13)
[reflex] FLEEING merm at 9m -> (353,9)
[reflex] FLEEING tentacle at 8m -> (366,28)
[reflex] FLEEING tentacle at 9m -> (343,20)
[reflex] FLEEING tentacle at 9m -> (342,20)
[reflex] FLEEING tentacle at 9m -> (366,31)
[reflex] FLEEING tentacle at 9m -> (366,33)
[reflex] FLEEING tentacle at 8m -> (344,30)
[reflex] FLEEING tentacle at 9m -> (366,27)
[reflex] FLEEING tentacle at 9m -> (343,34)
[reflex] FLEEING tentacle at 9m -> (344,34)
[reflex] FLEEING tentacle at 7m -> (358,20)
[reflex] FLEEING tentacle at 8m -> (365,32)
[reflex] FLEEING tentacle at 9m -> (347,40)
[reflex] FLEEING tentacle at 9m -> (349,43)
[reflex] FLEEING tentacle at 9m -> (370,33)
[reflex] FLEEING tentacle at 7m -> (369,36)
[reflex] FLEEING tentacle at 9m -> (357,22)
[reflex] FLEEING tentacle at 9m -> (350,43)
[reflex] FLEEING tentacle at 9m -> (370,34)
[reflex] FLEEING tentacle at 8m -> (369,38)
[reflex] FLEEING tentacle at 9m -> (350,25)
[reflex] FLEEING tentacle at 8m -> (356,23)
[reflex] FLEEING tentacle at 9m -> (371,36)
[reflex] FLEEING tentacle at 8m -> (346,28)
[reflex] FLEEING tentacle at 8m -> (370,36)
[reflex] FLEEING tentacle at 9m -> (356,22)
[reflex] FLEEING tentacle at 9m -> (349,43)
[reflex] FLEEING tentacle at 8m -> (369,32)
[reflex] FLEEING tentacle at 7m -> (368,37)
[reflex] FLEEING tentacle at 8m -> (354,23)
[reflex] FLEEING tentacle at 7m -> (363,24)
[reflex] FLEEING tentacle at 7m -> (364,26)
[reflex] FLEEING tentacle at 8m -> (346,37)
[reflex] FLEEING tentacle at 9m -> (345,37)
[reflex] FLEEING tentacle at 8m -> (365,24)
[reflex] FLEEING tentacle at 9m -> (365,23)
[reflex] FLEEING tentacle at 9m -> (344,35)
[reflex] FLEEING tentacle at 8m -> (344,34)
[reflex] FLEEING tentacle at 8m -> (359,19)
[reflex] FLEEING tentacle at 8m -> (365,32)
[reflex] FLEEING tentacle at 9m -> (346,40)
[reflex] FLEEING tentacle at 9m -> (349,42)
[reflex] FLEEING tentacle at 9m -> (370,31)
[reflex] FLEEING tentacle at 8m -> (349,40)
[reflex] FLEEING tentacle at 8m -> (349,41)
[reflex] FLEEING tentacle at 8m -> (369,38)
[reflex] FLEEING tentacle at 9m -> (371,39)
[reflex] FLEEING tentacle at 8m -> (352,25)
[reflex] FLEEING tentacle at 9m -> (354,23)
[reflex] FLEEING tentacle at 9m -> (367,31)
[reflex] FLEEING tentacle at 9m -> (343,24)
[reflex] FLEEING tentacle at 8m -> (357,38)
[reflex] FLEEING tentacle at 8m -> (354,39)
[reflex] FLEEING tentacle at 9m -> (365,24)
[reflex] FLEEING tentacle at 9m -> (343,32)
[reflex] FLEEING tentacle at 9m -> (366,28)
[reflex] FLEEING tentacle at 8m -> (365,29)
[reflex] FLEEING tentacle at 9m -> (345,38)
[reflex] FLEEING tentacle at 7m -> (364,25)
[reflex] FLEEING tentacle at 7m -> (366,27)
[reflex] FLEEING tentacle at 7m -> (349,40)
[reflex] FLEEING tentacle at 9m -> (349,42)
[reflex] FLEEING tentacle at 9m -> (370,31)
[reflex] FLEEING tentacle at 9m -> (370,33)
[reflex] FLEEING tentacle at 9m -> (348,41)
[reflex] FLEEING tentacle at 8m -> (369,38)
[reflex] FLEEING tentacle at 9m -> (370,40)
[reflex] FLEEING tentacle at 7m -> (351,26)
[reflex] FLEEING tentacle at 8m -> (353,24)
[reflex] FLEEING tentacle at 7m -> (363,24)
[reflex] FLEEING tentacle at 7m -> (365,26)
[reflex] FLEEING tentacle at 7m -> (347,37)
[reflex] FLEEING tentacle at 9m -> (346,38)
[reflex] FLEEING tentacle at 9m -> (366,25)
[reflex] FLEEING tentacle at 9m -> (367,25)
[reflex] FLEEING tentacle at 8m -> (346,38)
[reflex] FLEEING tentacle at 8m -> (347,38)
[reflex] FLEEING tentacle at 7m -> (365,27)
